Tickers,#Number of shs,HKD Notional
1,128000,6505200
2,103500,5921400
3,776000,5277080
4,9000,160780
5,907200,50796180
6,204000,8833050
8,18000,72430
10,1000,13820
11,21000,2400140
12,185000,4871300
13,78000,2082475
14,10000,229450
16,79500,8484200
17,341000,6960150
19,53000,3094075
20,38507000,106179730
23,198400,2028972
27,2094000,123686950
35,34000,67320
38,8000,31680
41,31000,487260
45,12000,93480
50,6000,43080
66,164500,6373775
69,106000,802860
81,3104000,14554660
83,360000,3851720
86,22000,64840
87,5000,47525
101,305000,4385500
107,36000,68760
116,3000,31380
119,207000,434290
120,184000,267420
135,594000,3866180
136,2608000,4930080
142,30000,76520
144,160000,1864960
148,4500,108775
151,318000,1668090
152,87000,628545
165,14000,78940
168,28000,2342200
173,16000,44960
175,776000,7664230
179,27000,241930
189,215000,1774940
200,225000,2156480
215,26000,36100
220,9000,70080
241,1692000,9603060
257,199000,647470
267,288000,2775020
268,238000,2977160
270,102000,796140
272,146000,140420
285,236000,5597925
288,400000,1851785
291,78000,4915500
293,14000,109400
297,8000,7920
302,12000,31680
303,4600,209060
308,12000,20880
316,43000,7301300
322,408000,5533920
323,338000,603280
327,17000,111340
330,117500,78725
336,243000,948100
338,660000,908660
345,62000,930560
347,1896000,5107220
354,1466000,7925820
357,18000,328940
358,557000,8138960
363,1000,11140
371,608000,1165540
384,74800,756716
386,7814000,39420080
388,68700,23338040
390,1128000,6299130
392,67000,2097550
405,152000,311490
410,94500,123535
419,10000,1390
425,28000,655300
435,6000,19020
440,1600,32480
460,458000,381800
467,742000,806740
489,48000,176340
506,8000,23200
512,194000,960025
520,532500,3471425
522,1100,80290
525,32000,47680
535,116000,62640
546,197000,878440
548,98000,724500
551,5500,61930
552,88000,362860
558,157500,1404200
564,11800,101266
570,110000,455920
576,248000,1679760
579,148000,297540
580,60000,108740
581,94000,125020
586,205000,2701070
587,407000,1073595
590,10000,259450
598,51000,132700
604,50000,74920
607,2697500,295425
631,300000,2769180
636,80500,884940
639,114000,302960
650,30000,26700
656,152000,853475
658,218000,607940
659,4000,27150
667,39500,163870
669,434000,36196450
670,76000,245740
683,45000,891080
686,2000,378
688,179500,3685875
694,16000,94580
696,90000,1412900
697,40000,84500
700,447300,160508420
709,10000,24460
710,109000,1476740
728,1004000,4328200
732,72000,77060
751,82000,328280
753,966000,7062180
754,36400,259197
762,854000,5333280
763,644000,16474820
772,43200,1634670
775,8000,6480
777,150500,2288530
778,13000,85830
780,115200,2092928
788,110000,111080
799,1724000,11220200
806,49000,128210
808,2000,4000
817,2860000,4578460
818,81000,56790
819,22000,212840
823,111100,5636180
826,70000,164800
836,42000,701040
839,54000,392030
853,131900,2463000
855,6000,38500
856,34000,147460
857,5218000,27062920
860,1612000,193912
861,85000,296150
867,60000,820680
868,879000,12837360
873,576000,1146490
874,58000,1504500
880,3703000,15252350
881,314500,11171925
883,2035000,25455880
902,4848000,21041660
909,775000,3441470
914,25000,646450
916,260000,2297010
921,103000,1863340
934,12000,34900
939,25006000,132357630
941,333000,22612225
956,18000,61680
960,1166500,27258175
966,6200,53254
968,7790000,68891060
973,9750,188535
981,2993500,75063725
990,70000,63200
991,600000,900360
992,5398000,47037980
995,24000,189240
998,2183000,9157860
1003,100000,108400
1024,5683100,281296065
1030,2272000,4348880
1033,34000,22320
1038,30500,1331575
1044,53000,1917025
1055,356000,2017120
1060,1100000,583000
1066,205600,2775720
1070,31000,106600
1071,362000,1269540
1072,3800,44160
1083,306000,1110120
1088,793000,20127800
1093,576000,4598460
1099,2517200,68994660
1109,752000,28875700
1112,32500,438950
1113,68000,3147600
1117,110000,111920
1119,174800,640476
1121,20000,155620
1128,3226400,28497972
1133,20000,76200
1137,32000,151280
1138,778000,6602980
1140,420000,137660
1157,32600,140790
1164,15000,12750
1171,870000,23026800
1176,96000,77840
1177,1046000,4743330
1179,58000,2281060
1183,16000,24480
1186,8500,53975
1193,6600,172825
1196,34000,184660
1199,84000,422600
1208,1660000,5407720
1209,59400,2477930
1211,945000,214746600
1233,2000,1400
1234,51000,213180
1238,299000,375670
1250,480000,32640
1258,62000,283400
1268,126000,1713120
1271,3000,16470
1288,9221000,28181680
1299,916800,76848270
1302,12000,36000
1308,374000,6728480
1310,390000,2404390
1313,452000,1648780
1316,107000,510370
1336,63400,1273009
1339,835000,2343940
1347,1258000,46718200
1357,319500,733925
1359,1510000,1479800
1361,64000,270310
1368,307500,2895365
1375,40000,47600
1378,998500,8438920
1382,1000,2560
1385,298000,7747850
1398,11549000,49305620
1415,181000,3047940
1448,106000,657100
1458,422000,1592630
1468,110000,204300
1475,9000,61670
1477,13500,121900
1478,35000,142880
1503,12000,24600
1508,243000,138510
1513,6400,186175
1515,149000,1097605
1516,241000,756580
1521,4000,10000
1528,3400,12028
1530,70500,579520
1548,7312000,161217700
1558,16600,123294
1563,139000,771950
1579,96000,2044350
1585,114000,2222840
1600,86000,427865
1606,4000,4360
1610,2747000,5606870
1618,5000,11140
1658,2373000,11936420
1666,289000,2212950
1672,174000,462590
1675,10800,163080
1686,16000,73890
1691,206500,1519695
1696,3600,47312
1698,100,3060
1733,130000,178120
1755,51000,281270
1760,111000,635070
1765,1278000,779580
1766,3070000,15100430
1772,1530400,80494480
1773,67000,154930
1776,257200,2952100
1787,55750,948310
1788,338000,229840
1789,62000,668680
1797,2360500,74092725
1798,1185000,3633600
1799,111600,2364520
1800,57000,292800
1801,64000,2567625
1810,2766600,32832524
1811,4000,10080
1812,6000,14700
1813,1180500,1303110
1816,390000,761840
1818,464500,6089600
1821,133000,1698900
1833,317400,6170560
1836,500,4185
1860,7000,27650
1866,15000,60240
1873,135500,218840
1876,564900,13458110
1877,22000,671180
1880,68600,12800230
1882,115000,2388600
1883,14000,45920
1888,141000,1190010
1896,107000,984734
1898,4080000,27022920
1907,19000,70330
1908,251000,6290650
1910,266400,6638040
1913,12100,733555
1919,1894500,18319510
1928,3860400,114297160
1929,511800,8250892
1951,448500,2361520
1952,350000,5044590
1958,41500,92365
1963,18500,81810
1966,43000,29680
1967,400,9280
1972,50600,1010644
1988,61500,172860
1992,29000,270026
1997,86000,3833550
1999,162800,1099768
2001,30000,78690
2002,10000,27880
2005,110000,604400
2007,15369000,33193920
2009,30000,31500
2013,2081000,8548760
2015,460600,43231515
2016,37000,102490
2018,232500,3860180
2020,644000,64097400
2038,59000,48970
2039,2700,13935
2057,1200,275300
2096,154000,1494230
2098,340000,136000
2099,112500,4682695
2121,109000,2299745
2126,9000,31275
2128,46000,318280
2137,558500,2415310
2138,28000,164350
2150,23000,193890
2155,24000,212460
2156,15000,70800
2157,3000,15760
2158,830700,5658774
2160,507000,1203260
2162,20000,1314600
2163,3600,13896
2171,130500,1733250
2172,7000,99420
2179,1500,21920
2186,142000,557335
2191,129000,371520
2192,53000,520555
2196,62000,1453725
2197,45500,78385
2202,378100,4673854
2208,42200,282962
2233,176000,182880
2238,558000,2731660
2252,167000,4247875
2255,1331000,2141570
2269,928500,49091275
2273,26900,1417660
2282,1407600,14963160
2285,16500,667365
2313,149100,11542555
2314,309000,1027030
2315,4000,98250
2318,1371500,74810800
2319,240000,7768100
2328,3500000,31919540
2331,607000,34673525
2333,3443000,32568965
2338,675000,8036740
2342,16000,25600
2343,2396000,7617050
2356,2800,17948
2357,1007000,4123600
2359,316400,25837430
2362,50000,31600
2378,50,5685
2380,3671000,11098730
2382,54900,4937745
2386,14000,56295
2388,263000,6639175
2390,8500,158682
2400,20800,512400
2423,8500,399500
2500,31000,359540
2588,27900,1741995
2600,726000,3409660
2601,417000,9969470
2602,19800,716015
2607,16000,248860
2611,12400,125572
2616,28500,104105
2618,373600,4686262
2628,6643000,94268520
2666,26000,131210
2669,120000,1056350
2678,12500,73590
2688,131400,14050210
2689,573000,3442250
2727,4000,8240
2777,185200,305748
2778,237000,804260
2799,3000,1290
2800,46784000,963231940
2801,28600,601472
2806,50,2620
2809,2300,251162
2812,20000,209800
2820,900,62014
2822,1892600,26103952
2823,75800,1095920
2826,500,31950
2828,270200,18824540
2839,1000,24840
2840,120,174490
2845,118050,12610435
2858,254000,251460
2866,36000,38160
2869,316000,1566900
2883,158000,1382040
2888,2900,184805
2899,1204000,16815400
3032,561800,2288486
3033,120150000,484617778
3066,24300,311599
3067,212300,1821983
3068,32500,386217
3069,200,2686
3070,400,10668
3071,5,5135
3088,615200,3183007
3109,38600,442906
3115,10700,788268
3134,1900,14962
3135,5550,68865
3136,87900,1087215
3160,2200,31856
3188,648400,30983412
3191,2100,103244
3309,20000,90120
3311,478000,4395640
3316,500,11950
3319,121750,811902
3320,825000,5629180
3323,874000,5228400
3328,1049000,5380200
3331,15000,331250
3339,1000,1380
3347,28100,2161795
3360,7000,48800
3377,409500,318870
3380,389000,368990
3383,694000,1171660
3396,22900,197898
3606,157200,5116880
3613,16000,247900
3618,27000,80190
3633,30000,173730
3668,110400,3299065
3669,70500,360715
3690,3127700,438962010
3692,190000,2845640
3709,40000,440450
3738,378000,1155790
3759,26300,934810
3799,92500,309200
3800,11189000,23229560
3808,94500,1095160
3868,552000,1221340
3877,24000,31920
3888,955200,34491860
3898,20500,685730
3899,56000,408060
3900,79500,811540
3908,200400,3378752
3913,808000,900440
3918,2000,12460
3931,17400,348393
3933,178000,1088600
3948,20100,320058
3958,254400,1202500
3968,1220500,50962450
3969,537000,1824760
3983,18000,37120
3988,11474000,35998580
3990,84600,816726
3993,2619000,14548380
3996,90000,99900
3998,1432000,5670100
6030,244500,4223140
6055,7000,69770
6060,59600,1543460
6066,72000,587800
6069,19000,118385
6078,23000,1322670
6088,326000,600920
6098,663000,9256740
6099,11400,89766
6100,112600,1162116
6110,309000,2284810
6127,1700,57270
6160,48900,7708280
6169,2026000,2868280
6185,45800,1799180
6186,191000,1074250
6198,5000,22500
6606,109500,3185625
6608,24500,272880
6616,94000,416740
6618,296350,16797672
*,"2,400","78,600"
6639,21500,292770
6655,10100,86563
6689,1000,16820
6690,286400,7074620
6699,40400,4238140
6806,14400,22872
6808,309000,952425
6818,148000,365110
6821,4400,465190
6823,18000,183840
6830,18000,44840
6837,1326800,6970288
6855,14100,343095
6862,91000,1806870
6865,319000,7021900
6869,96500,1596380
6878,394000,57142
6881,434500,1832935
6886,293200,2996356
6969,378000,3635470
6978,3000,11900
6988,539000,539000
6993,45500,222000
6996,1500,4245
7200,13931300,63842155
7226,26376900,140403434
7233,432900,2389305
7248,1000,3800
7288,1357200,3537452
7299,59100,490175
7500,804100,3900617
7552,223300,1435419
7568,57400,732389
7588,24500,115345
NON-HKD Stock/ETF,9067,ISHARESHSTECH-U,200,219
NON-HKD Stock/ETF,9191,GX,CN,SEMICON-U,500,3147
9618,321250,46239660
9626,137760,22756226
9633,319400,13692610
9658,32000,535520
9668,119000,162960
9688,58700,1721120
9696,1229600,70171440
9698,236000,3863756
NON-HKD Stock/ETF,9801,ISHARES,CHINA-U,23400,62725
NON-HKD Stock/ETF,9820,GX,CN,BIOTECH-U,50,436
NON-HKD Stock/ETF,9845,GX,CN,EV,BATT-U,5000,68500
9858,73000,155480
9866,195260,13375226
9868,3934300,150123400
9869,51500,634570
9878,300,9285
9888,518200,65659065
9898,1660,225080
9899,8100,603417
9901,131900,4473000
9909,25000,130590
9922,152000,2797580
9923,88000,2060640
9926,143000,6236350
9939,230500,1356155
9955,148200,1666316
9959,121000,374320
9961,49700,14662400
9966,63000,980680
9969,757000,7304370
9979,43000,321920
9987,2950,1477880
9988,1387200,128291000
9989,4000,22080
9990,128000,670980
9991,8300,104090
9992,875200,17137432
9993,5000,20100
9995,65500,3248125
9996,116000,1234540
9997,3500,37030
9999,353700,51127130
